company_name,company_industry,employee_count_range,city,platform
Flywheel,Advertising Services,1001-5000,Baltimore,lever
Apartment Life,Real Estate,201-500,Euless,lever
Hadrian,Defense and Space Manufacturing,51-200,Los Angeles,lever
Giving Home Health Care,Hospitals and Health Care,501-1000,Austin,lever
Radformation,Software Development,51-200,New York,lever
"Significance, Inc.",Professional Services,51-200,Annapolis,lever
E.L.F. BEAUTY,Personal Care Product Manufacturing,,Oakland,lever
Solar Landscape,Solar Electric Power Generation,51-200,Asbury Park,lever
Kasada,Computer and Network Security,51-200,New York,lever
Manay CPA,Accounting,51-200,Marietta,lever
TrueML,Software Development,51-200,Kansas City,lever
Fair Trade Real Estate,Real Estate,51-200,Irvine,lever
Palantir Technologies,Software Development,1001-5000,Denver,lever
Included Health,Hospitals and Health Care,1001-5000,San Francisco,lever
Digital Turbine,Advertising Services,501-1000,Austin,lever
Whoop,Manufacturing,501-1000,Boston,lever
Coupa Software,Software Development,1001-5000,Foster City,lever
Bumble,IT Services and IT Consulting,1001-5000,Austin,lever
Cloudinary,"Technology, Information and Internet",201-500,San Jose,lever
"Eastern Research Group, Inc.",Environmental Services,201-500,Lexington,lever
Quantinuum,Computer and Network Security,201-500,Broomfield,lever
Walser Automotive Group,Motor Vehicle Manufacturing,1001-5000,Edina,lever
Placemakr,Hospitality,201-500,Washington,lever
WebFX,Advertising Services,1001-5000,Harrisburg,lever
Samba TV,"Technology, Information and Internet",201-500,San Francisco,lever
Varo Bank,Banking,501-1000,San Francisco,lever
ERG,Business Consulting and Services,501-1000,Lexington,lever
Crest Industries,Utilities,501-1000,Pineville,lever
Atomic Machines,Robotics Engineering,51-200,Berkeley,lever
Lumafield,Computer Hardware Manufacturing,51-200,Cambridge,lever
Foodsmart,Wellness and Fitness Services,201-500,San Francisco,lever
Waterworks,Design Services,501-1000,Danbury,lever
Haus,Software Development,201-500,San Francisco,lever
People.ai,Software Development,201-500,San Francisco,lever
Lead,Financial Services,201-500,Kansas City,lever
Lumin,Renewable Energy Semiconductor Manufacturing,51-200,Charlottesville,lever
Wachter,IT Services and IT Consulting,1001-5000,Lenexa,lever
FiscalNote,Software Development,501-1000,Washington,lever
Attentive,Advertising Services,1001-5000,New York,lever
Bixal,Business Consulting and Services,201-500,Fairfax,lever
Agiloft,Software Development,201-500,Redwood City,lever
174 Power Global,Renewable Energy Semiconductor Manufacturing,51-200,Irvine,lever
AppZen,Software Development,201-500,San Jose,lever
WHOOP,Wellness and Fitness Services,501-1000,Boston,lever
Polly,Insurance,51-200,Williston,lever
Fehr & Peers,Civil Engineering,201-500,Walnut Creek,lever
fabric,Software Development,501-1000,Seattle,lever
Natron Energy,Manufacturing,51-200,Santa Clara,lever
"Volta Labs, Inc.",Biotechnology Research,51-200,Boston,lever
Business Wire,Public Relations and Communications Services,501-1000,San Francisco,lever
Fuse,Advertising Services,201-500,Winooski,lever
iMentor,Non-profit Organizations,201-500,New York,lever
Accompany Health,Hospitals and Health Care,,Bethesda,lever
HHAeXchange,Software Development,501-1000,New York,lever
LightEdge,IT Services and IT Consulting,201-500,Des Moines,lever
Western Aircraft,Airlines and Aviation,201-500,Boise,lever
Marshall Reddick Real Estate,Real Estate,51-200,Newport Beach,lever
Hyperscience,Software Development,201-500,New York,lever
Owner.com,Software Development,51-200,San Francisco,lever
Energy Recovery,Machinery Manufacturing,201-500,San Leandro,lever
Avero,Software Development,51-200,New York,lever
American Battery Technology,Mining,11-50,Reno,lever
MoeGo,"Technology, Information and Internet",11-50,Los Angeles,lever
REGENXBIO,Biotechnology Research,201-500,Rockville,lever
The Daily Wire,Media Production,51-200,Nashville,lever
Search for Common Ground,Non-profit Organizations,1001-5000,Washington,lever
GRAIL,Biotechnology Research,1001-5000,Menlo Park,lever
Olo,Software Development,501-1000,New York,lever
Roofstock,Real Estate,201-500,Oakland,lever
Mattermost,Software Development,51-200,Palo Alto,lever
B. F. Saul Hospitality Group,Hospitals and Health Care,501-1000,Bethesda,lever
Instawork,Staffing and Recruiting,1001-5000,San Francisco,lever
MaintainX,Software Development,201-500,San Francisco,lever
Quince,Retail,501-1000,San Francisco,lever
HCVT,Accounting,501-1000,Los Angeles,lever
Scorpion,Advertising Services,1001-5000,Salt Lake City,lever
Rover.com,Consumer Services,"5001-10,000",Seattle,lever
Versapay,Financial Services,201-500,Miami,lever
Model N,Software Development,1001-5000,San Mateo,lever
Alloy,Financial Services,501-1000,New York,lever
The Black Tux,Retail Apparel and Fashion,201-500,Los Angeles,lever
Firework,Marketing Services,201-500,San Mateo,lever
Strategic Data Systems,Software Development,201-500,Cincinnati,lever
Newfront,Insurance,501-1000,San Francisco,lever
Revinate,Software Development,201-500,Palo Alto,lever
Serotonin,Advertising Services,51-200,Remote,lever
DoraHacks,"Technology, Information and Internet",11-50,San Francisco,lever
RISE,Human Resources Services,51-200,Salt Lake City,lever
Abzena,Pharmaceutical Manufacturing,201-500,San Diego,lever
Kiva Confections,Wholesale,201-500,Oakland,lever
Sunrise Management,Real Estate,201-500,San Diego,lever
Enoda,IT Services and IT Consulting,1-10,West Menlo Park,lever
"Quench USA, Inc.",Retail Office Equipment,501-1000,King of Prussia,lever
PROCEPT BioRobotics,Medical Equipment Manufacturing,501-1000,San Jose,lever
OXIO,Telecommunications,51-200,New York,lever
Pryon,Software Development,51-200,Raleigh,lever
Knighted,Entertainment Providers,1001-5000,Newark,lever
KIPP SoCal Public Schools,Education Administration Programs,1001-5000,Los Angeles,lever
Viamericas,Financial Services,201-500,Bethesda,lever
Boyer Trucks,Truck Transportation,201-500,Lauderdale,lever
Sayari,Software Development,201-500,Washington,lever
Williamsburg Learning,Education Administration Programs,11-50,Saint George,lever
Equip,Mental Health Care,501-1000,San Diego,lever
Highlight,IT Services and IT Consulting,51-200,Fairfax,lever
Wisk,Aviation and Aerospace Component Manufacturing,501-1000,Mountain View,lever
Orca Bio,Pharmaceutical Manufacturing,51-200,Menlo Park,lever
CIC (Cambridge Innovation Center),Real Estate,,Cambridge,lever
Sila Services,Consumer Services,201-500,King of Prussia,lever
Monster Tree Service,Forestry and Logging,51-200,Doylestown,lever
Pickle Robot Company,"Transportation, Logistics, Supply Chain and Storage",51-200,Cambridge,lever
LeadsOnline,Law Enforcement,51-200,Plano,lever
Figure Eight Federal,IT Services and IT Consulting,201-500,Arlington,lever
Endava North America,IT Services and IT Consulting,"10,000+",Charlotte,lever
Nisum,IT Services and IT Consulting,1001-5000,Brea,lever
Match Group,Software Development,1001-5000,Dallas,lever
ModSquad,"Technology, Information and Internet",1001-5000,Sacramento,lever
Guidewire Software,Software Development,1001-5000,San Mateo,lever
Token Metrics,Internet Publishing,11-50, Austin,lever
Aircall,Telecommunications,501-1000,New York,lever
Clari,Software Development,501-1000,Sunnyvale,lever
Outreach,Software Development,1001-5000,Seattle,lever
Tonal,Wellness and Fitness Services,201-500,San Francisco,lever
Viseven,IT Services and IT Consulting,501-1000,Bridgewater,lever
BPM LLP,Business Consulting and Services,1001-5000,San Francisco,lever
Lochmueller Group,Civil Engineering,201-500,Evansville,lever
AiDash,Software Development,201-500,San Jose,lever
UpGuard,IT Services and IT Consulting,201-500,Mountain View,lever
4Front Ventures,Alternative Medicine,201-500,Phoenix,lever
OpenX,"Technology, Information and Internet",201-500,Pasadena,lever
D.A. Davidson Companies,Financial Services,1001-5000,Great Falls,lever
Toyota Research Institute,Research Services,201-500,Los Altos,lever
CertiK,Computer and Network Security,201-500,New York,lever
Wealthfront,Financial Services,201-500,Palo Alto,lever
Omnidian,Services for Renewable Energy,201-500,Seattle,lever
TreviPay,Financial Services,501-1000,Overland Park,lever
Sprinto,Software Development,201-500,San Francisco,lever
Finix,Financial Services,201-500,San Francisco,lever
CaptivateIQ,Software Development,201-500,San Francisco,lever
"Lone Wolf Technologies, Inc.",Environmental Services,1-10,Fort Worth,lever
SnapLogic,Software Development,201-500,San Mateo,lever
Squire,Accounting,201-500,Orem,lever
Cresta,Software Development,501-1000,Palo Alto,lever
Berkshire Hathaway Homestate Companies,Insurance,501-1000,San Francisco,lever
Field Nation,Software Development,1001-5000,Minneapolis,lever
Dream Golf,Hospitality,201-500,Chicago,lever
Canary Technologies,Hospitality,51-200,San Francisco,lever
Super.com,Financial Services,,San Francisco,lever
Sonatus,Software Development,51-200,Sunnyvale,lever
Arcadia.io,Hospitals and Health Care,201-500,Boston,lever
Marketopia,Advertising Services,201-500,Pinellas Park,lever
Small Door Veterinary,Pet Services,51-200,,lever
Forbright Bank,Banking,201-500,Chevy Chase,lever
Hanna Andersson,Retail,201-500,Portland,lever
Prime Electric,Construction,501-1000,Bellevue,lever
Cyngn,Software Development,51-200,Menlo Park,lever
Pano AI,Fire Protection,51-200,San Francisco,lever
VideaHealth,Software Development,51-200,Boston,lever
"Hiller Plumbing, Heating, Cooling & Electrical",Consumer Services,501-1000,Nashville,lever
New Western,Real Estate,1001-5000,Irving,lever
Apollo GraphQL,Software Development,201-500,San Francisco,lever
Scratchpay,Financial Services,51-200,Pasadena,lever
Purvis Systems,IT Services and IT Consulting,51-200,,lever
ZeroFox,Computer and Network Security,1-10,Baltimore,lever
Gauntlet,Software Development,51-200,New York,lever
Aizon,IT Services and IT Consulting,51-200,San Francisco,lever
Apprenticely,Non-profit Organizations,11-50,Little Rock,lever
Simbe,Retail,51-200,South San Francisco,lever
Perr&Knight,Insurance,51-200,Santa Monica,lever
Productiv,Software Development,51-200,Palo Alto,lever
Sphinx Defense,Defense and Space Manufacturing,11-50,Washington,lever
Scratch Financial,Financial Services,51-200,Pasadena,lever
"mPower, Inc.",Business Consulting and Services,11-50,Rockville,lever
CI&T,IT Services and IT Consulting,"5001-10,000",New York,lever
Aledade,Hospitals and Health Care,1001-5000,Bethesda,lever
CDC Foundation,Non-profit Organizations,1001-5000,Atlanta,lever
Icertis,Software Development,1001-5000,Bellevue,lever
Highspot,Software Development,1001-5000,Seattle,lever
Getty Images,Photography,"5001-10,000",Seattle,lever
HealthVerity,Software Development,201-500,Philadelphia,lever
ActiveCampaign,Software Development,501-1000,Chicago,lever
Jam City,Computer Games,1001-5000,Culver City,lever
Beyond Meat,Food and Beverage Services,501-1000,El Segundo ,lever
Angel Studios,Entertainment Providers,201-500,Provo,lever
