company_name,company_industry,employee_count_range,city,platform
Apollo Retail Specialists,Retail,"5001-10,000",Tampa,icims
Reyes Coca-Cola Bottling,Food and Beverage Services,"5001-10,000",Niles,icims
Anthropologie,Retail Apparel and Fashion,"5001-10,000",Philadelphia,icims
PENNYMAC,Financial Services,1001-5000,Westlake Village,icims
QuickChek,Restaurants,"5001-10,000",Readington Township,icims
BDS Connected Solutions,Public Relations and Communications Services,1001-5000,Irvine,icims
Emory University,Higher Education,"10,000+",Atlanta,icims
UChicago Medicine,Hospitals and Health Care,"5001-10,000",Chicago,icims
Datavant,Software Development,"5001-10,000",Phoenix,icims
"Kisco Senior Living, LLC",Hospitals and Health Care,1001-5000,Carlsbad,icims
TeamHealth,Hospitals and Health Care,"10,000+",Knoxville,icims
Lowes Foods,Retail Groceries,"5001-10,000",Winston-Salem,icims
Gannett Fleming,Civil Engineering,1001-5000,Camp Hill,icims
Memorial Health,Hospitals and Health Care,1001-5000,Savannah,icims
ATI Physical Therapy,Wellness and Fitness Services,"5001-10,000",Bolingbrook,icims
BlueHalo,Defense and Space Manufacturing,1001-5000,Arlington,icims
Kessler Collection,Hospitality,1001-5000,Orlando,icims
Imperial Dade,"Transportation, Logistics, Supply Chain and Storage","5001-10,000",Jersey City,icims
AvalonBay Communities,Real Estate,1001-5000,Arlington,icims
Primo Water,Food and Beverage Manufacturing,1001-5000,Tampa,icims
Smoothie King,Restaurants,"5001-10,000",Coppell,icims
Mission Veterinary Partners,Veterinary Services,1001-5000,Southfield,icims
Memphis-Shelby County Schools,Education Administration Programs,"5001-10,000",Memphis,icims
Endeavor Schools,Education Administration Programs,1001-5000,Miami,icims
SAS,Software Development,"10,000+",Cary,icims
Geosyntec Consultants,Environmental Services,1001-5000,Boca Raton,icims
RealManage,Real Estate,501-1000,Plano,icims
Troon,Hospitality,"5001-10,000",Scottsdale,icims
"TRC Companies, Inc.",Environmental Services,"5001-10,000",Windsor,icims
Pursuit Collection,Hospitality,1001-5000,Denver,icims
Teph Seal Auto Appearance,Motor Vehicle Manufacturing,201-500,Orlando,icims
City of Austin,Government Administration,"5001-10,000",Austin,icims
Avalara,Software Development,1001-5000,Durham,icims
TekSynap,IT Services and IT Consulting,501-1000,Virginia,icims
Lennox,Manufacturing,"5001-10,000",Richardson,icims
AssuredPartners,Insurance,"5001-10,000",Orlando,icims
Homewood Suites by Hilton,Hospitality,"10,000+",McLean,icims
Southcoast Health System,Hospitals and Health Care,1001-5000,New Bedford,icims
